Instructions for case number 1:
1: Number 1 cannot be at (0,0); reason: discovered number 8 in its place; possiblities left: [8].
2: Number 2 cannot be at (0,0); reason: discovered number 8 in its place; possiblities left: [8].
3: Number 3 cannot be at (0,0); reason: discovered number 8 in its place; possiblities left: [8].
4: Number 4 cannot be at (0,0); reason: discovered number 8 in its place; possiblities left: [8].
5: Number 5 cannot be at (0,0); reason: discovered number 8 in its place; possiblities left: [8].
6: Number 6 cannot be at (0,0); reason: discovered number 8 in its place; possiblities left: [8].
7: Number 7 cannot be at (0,0); reason: discovered number 8 in its place; possiblities left: [8].
8: Number 9 cannot be at (0,0); reason: discovered number 8 in its place; possiblities left: [8].
9: Number 8 cannot be at (0,1); reason: discovered the number 8 at the same row at position (0,0); possiblities left: [1].
10: Number 8 cannot be at (0,2); reason: discovered the number 8 at the same row at position (0,0); possiblities left: [2].
11: Number 8 cannot be at (0,3); reason: discovered the number 8 at the same row at position (0,0); possiblities left: [7].
12: Number 8 cannot be at (0,4); reason: discovered the number 8 at the same row at position (0,0); possiblities left: [5].
13: Number 8 cannot be at (0,5); reason: discovered the number 8 at the same row at position (0,0); possiblities left: [3].
14: Number 8 cannot be at (0,6); reason: discovered the number 8 at the same row at position (0,0); possiblities left: [6].
15: Number 8 cannot be at (0,7); reason: discovered the number 8 at the same row at position (0,0); possiblities left: [4].
16: Number 8 cannot be at (0,8); reason: discovered the number 8 at the same row at position (0,0); possiblities left: [9].
17: Number 8 cannot be at (1,0); reason: discovered the number 8 at the same column at position (0,0); possiblities left: [9].
18: Number 8 cannot be at (2,0); reason: discovered the number 8 at the same column at position (0,0); possiblities left: [6].
19: Number 8 cannot be at (3,0); reason: discovered the number 8 at the same column at position (0,0); possiblities left: [1].
20: Number 8 cannot be at (4,0); reason: discovered the number 8 at the same column at position (0,0); possiblities left: [3].
21: Number 8 cannot be at (5,0); reason: discovered the number 8 at the same column at position (0,0); possiblities left: [2].
22: Number 8 cannot be at (6,0); reason: discovered the number 8 at the same column at position (0,0); possiblities left: [5].
23: Number 8 cannot be at (7,0); reason: discovered the number 8 at the same column at position (0,0); possiblities left: [4].
24: Number 8 cannot be at (8,0); reason: discovered the number 8 at the same column at position (0,0); possiblities left: [7].
25: Number 8 cannot be at (1,1); reason: discovered the number 8 at the same quadrant at position (0,0); possiblities left: [4].
26: Number 8 cannot be at (1,2); reason: discovered the number 8 at the same quadrant at position (0,0); possiblities left: [3].
27: Number 8 cannot be at (2,1); reason: discovered the number 8 at the same quadrant at position (0,0); possiblities left: [7].
28: Number 8 cannot be at (2,2); reason: discovered the number 8 at the same quadrant at position (0,0); possiblities left: [5].
29: Number 1 cannot be at (1,2); reason: discovered number 3 in its place; possiblities left: [3].
30: Number 2 cannot be at (1,2); reason: discovered number 3 in its place; possiblities left: [3].
31: Number 4 cannot be at (1,2); reason: discovered number 3 in its place; possiblities left: [3].
32: Number 5 cannot be at (1,2); reason: discovered number 3 in its place; possiblities left: [3].
33: Number 6 cannot be at (1,2); reason: discovered number 3 in its place; possiblities left: [3].
34: Number 7 cannot be at (1,2); reason: discovered number 3 in its place; possiblities left: [3].
35: Number 9 cannot be at (1,2); reason: discovered number 3 in its place; possiblities left: [3].
36: Number 3 cannot be at (1,0); reason: discovered the number 3 at the same row at position (1,2); possiblities left: [9].
37: Number 3 cannot be at (1,1); reason: discovered the number 3 at the same row at position (1,2); possiblities left: [4].
38: Number 3 cannot be at (1,3); reason: discovered the number 3 at the same row at position (1,2); possiblities left: [6].
39: Number 3 cannot be at (1,4); reason: discovered the number 3 at the same row at position (1,2); possiblities left: [8].
40: Number 3 cannot be at (1,5); reason: discovered the number 3 at the same row at position (1,2); possiblities left: [2].
41: Number 3 cannot be at (1,6); reason: discovered the number 3 at the same row at position (1,2); possiblities left: [1].
